gen,nevals,avg,std,min,max
0,100,0.34811907870159997,0.027243013741794428,0.21271034099682612,0.3799028369844997
1,73,0.36127145840707375,0.010316109587021118,0.30723548802281003,0.383796969562793
2,67,0.36387509607232515,0.01260872234618274,0.3231569677033372,0.40743434502577786
3,58,0.36457048508061013,0.019767762767459944,0.2580929376231078,0.40743434502577786
4,66,0.36675079272196554,0.017472953167732157,0.2938090878284201,0.40743434502577786
5,63,0.36986143089444146,0.015305910122898066,0.3364961599606007,0.40743434502577786
6,61,0.3704116827557704,0.016689027431285565,0.33019071105953673,0.40743434502577786
7,64,0.3670763998833095,0.023307910621376254,0.19978247125136828,0.40743434502577786
8,50,0.3726139884914612,0.018101986067054425,0.3281264941220103,0.40743434502577786
9,63,0.37013161863813626,0.02068061113735961,0.3350822837903201,0.4215942469047396
10,59,0.37157212659051614,0.02235075737750339,0.3105395657072893,0.4215942469047396
11,48,0.3761192673910059,0.023747975967235213,0.314378341339648,0.4215942469047396
12,55,0.3736466198874824,0.0342560548458277,0.19296791998810578,0.4215942469047396
13,62,0.374196929109163,0.03499387813608024,0.173930046048683,0.4215942469047396
14,69,0.37176180556027355,0.03847873036196413,0.18482388849782896,0.45923001130449376
15,62,0.3770902664621195,0.0303073755468267,0.31968076006935797,0.45923001130449376
16,69,0.37737165277393236,0.034259346968333104,0.29636772288674934,0.4622567901117512
17,65,0.3787332643999833,0.03432936705310893,0.29472565163391223,0.47375304135208707
18,64,0.38128154377139967,0.03652988327228625,0.31067164906091016,0.47375304135208707
19,54,0.3874198585010745,0.04093201936276645,0.3084343309031421,0.47790457369344014
20,55,0.39427871973987794,0.04343657755386624,0.30821921228301463,0.47790457369344014
21,50,0.39505307770852377,0.04444530541807321,0.31129950934202844,0.4971039840486906
22,49,0.3997019433690206,0.05129498908894092,0.24741397120605457,0.4971039840486906
23,48,0.4077178252713833,0.053139757888471854,0.23650655144794994,0.4971039840486906
24,43,0.4132535275551692,0.05373484729665253,0.3266047092777731,0.4971039840486906
25,54,0.4082936622483666,0.05483647457589273,0.30817131836537354,0.4971039840486906
26,58,0.4035095318320381,0.059704000383464656,0.30696867199066435,0.4995068197405974
27,64,0.40013553767836185,0.06517775784207377,0.261035113690418,0.4995068197405974
28,55,0.40073847631941023,0.062274517887953844,0.2950197078143827,0.4995068197405974
29,50,0.40808166972966814,0.06890337127354854,0.2556356797752585,0.4995068197405974
30,50,0.4036458827565199,0.07101219780216707,0.2211516571797169,0.4995068197405974
31,52,0.41100311402997314,0.07316478535119095,0.2707659381126705,0.4995068197405974
32,38,0.4356347578592768,0.07472633064757236,0.27182309051760456,0.5132553384077553
33,46,0.4376261724175521,0.07744775763967475,0.25717108799864713,0.5745719627794853
34,45,0.4373453822379275,0.08310307569253952,0.24697451157400804,0.5745719627794853
35,52,0.42701214181831304,0.08352188741732593,0.23471788776912417,0.5745719627794853
36,52,0.42940932122110964,0.08183037942371411,0.26709381423214806,0.5745719627794853
37,33,0.45738554517823876,0.08322436618464767,0.23691780689564865,0.5745719627794853
38,43,0.4485295675164207,0.09877005337298232,0.2597276536735345,0.5745719627794853
39,50,0.44678970238415877,0.09447112401329005,0.27588541653571863,0.5745719627794853
40,40,0.47014558745393115,0.097305715182704,0.28247858333955694,0.5818037873845666
41,55,0.4448721266746919,0.10449204213608389,0.2650484338395229,0.5818037873845666
42,44,0.45161473750277087,0.11116879184212916,0.24125965435480143,0.5818037873845666
43,40,0.4708790052180628,0.1078440545678308,0.25897924086607566,0.5818037873845666
44,49,0.46679821295066953,0.10150229263900415,0.2807526551951338,0.5818037873845666
45,41,0.4796258180245659,0.10690151556127613,0.28371389918307166,0.6110940055184975
46,39,0.4877315634579807,0.11525435413195742,0.2641402883544118,0.6110940055184975
47,39,0.4958770259763973,0.11263282102707796,0.2592079051576679,0.6110940055184975
48,45,0.48160859267273504,0.1200419831745418,0.2415254560204948,0.6110940055184975
49,53,0.4611470116674715,0.12397275675656075,0.2818480840568096,0.6110940055184975
50,37,0.4924442560497567,0.1193748258954371,0.2701474560001821,0.6110940055184975
51,35,0.5058134710540694,0.11817448357370972,0.2664885036177869,0.6110940055184975
52,36,0.5129853294053992,0.12338302675520024,0.2563670824901807,0.6110940055184975
53,43,0.5041082276593964,0.12833884199634116,0.2717437795010631,0.6110940055184975
54,36,0.5059427988769004,0.12857045756193097,0.22252459519815637,0.6110940055184975
55,42,0.4976368609575601,0.1293188528714012,0.2734588402728349,0.6110940055184975
56,46,0.4826234429624555,0.1286787115693878,0.23802302888446328,0.6110940055184975
57,36,0.510461417923263,0.12253592367950145,0.28115011722700955,0.6110940055184975
58,39,0.504068699536971,0.1263020770989295,0.26230877964093224,0.6110940055184975
59,48,0.48494413357040117,0.13407931845040338,0.2774255808431567,0.6110940055184975
60,46,0.4895544595307451,0.13281935378027965,0.259182349890368,0.6110940055184975
61,32,0.5246183593607668,0.12417808828609744,0.2582478866749478,0.6110940055184975
62,42,0.5071188115424728,0.1257130297897423,0.270341166801622,0.6110940055184975
63,37,0.5099400213700371,0.12136828303099008,0.277382303301671,0.6110940055184975
64,34,0.5209096207069723,0.12557664395490925,0.26802337970671797,0.6110940055184975
65,40,0.5135454053647345,0.12394638669620611,0.27789371132952867,0.6110940055184975
66,38,0.5198114926836915,0.1231526322400328,0.2671094135985419,0.6110940055184975
67,26,0.5389897209274105,0.12061751059961978,0.26479990382508767,0.6110940055184975
68,37,0.5224867422998324,0.12077157422524706,0.27712649810418016,0.6110940055184975
69,35,0.5142770605380759,0.1282915670642666,0.2699838760421981,0.6110940055184975
70,37,0.5129117532340898,0.12411828192565483,0.2703492905115983,0.6110940055184975
71,35,0.5145400288900057,0.1268745779025641,0.27300749878028807,0.6110940055184975
72,27,0.5401233715061063,0.1120429291324502,0.2742289270306261,0.6110940055184975
73,31,0.5388874693266938,0.11288742983215873,0.2821055068330173,0.6110940055184975
74,33,0.524150123495265,0.13048419238975814,0.20905587152180008,0.6110940055184975
75,40,0.4990780929599257,0.1374338400397757,0.24249303879540346,0.6110940055184975
76,37,0.5114424476722935,0.12338096801951993,0.27317444399752816,0.6110940055184975
77,34,0.5284246725287102,0.12000177428071815,0.26692246870556996,0.6110940055184975
78,35,0.5218378019669739,0.1227084251854326,0.27088026738898385,0.6110940055184975
79,39,0.5144728690400242,0.12316820863226727,0.27017679307364895,0.6110940055184975
80,42,0.5013799243674552,0.1308472683867656,0.22195191281475476,0.6110940055184975
81,46,0.48934243197103006,0.13091868496930906,0.2723413642095464,0.6110940055184975
82,49,0.4771187398727021,0.1346954524271068,0.2486106256007837,0.6110940055184975
83,35,0.520906758563838,0.1170081123304474,0.2772494787365251,0.6110940055184975
84,53,0.47560743487524315,0.12770874821950606,0.2689517181844533,0.6110940055184975
85,47,0.4722616319007553,0.12939875327017072,0.2452572841772232,0.6110940055184975
86,59,0.4594922428881646,0.11956384470649614,0.2687671481170522,0.6110940055184975
87,50,0.4531420660289164,0.12502327849000608,0.24399104919198458,0.6110940055184975
88,46,0.47111057652082033,0.12114511102750944,0.2743577706273104,0.6110940055184975
89,38,0.494310559109583,0.123215484087674,0.20879138515288265,0.6110940055184975
90,66,0.43327843741594096,0.1261925437702167,0.2301990871414284,0.6110940055184975
91,63,0.4317767265299126,0.11845115693073449,0.24219829271280383,0.6110940055184975
92,52,0.44070834566397116,0.12297853042399605,0.22681124405577355,0.6110940055184975
93,46,0.4610268932124709,0.1185391572023402,0.263013662965519,0.6110940055184975
94,43,0.47643062562849997,0.11878255498140687,0.26920541222482525,0.6110940055184975
95,54,0.45759832030208114,0.12530651021970815,0.2378573688508278,0.6110940055184975
96,52,0.45795591035038397,0.13059722279127908,0.26688524475556946,0.6110940055184975
97,42,0.4765729205820895,0.12870438281079186,0.25065606423138465,0.6110940055184975
